"rank","name","listing_type","service_area","base_location","certification_or_affiliation","offerings","website","instagram","facebook","youtube","email","phone","address","rating_summary","review_source_type","review_extract","more_reviews_url","source_notes","due_diligence_note","logo_file","logo_source_url","last_verified"
"1","Salt Sessions Freediving","Freediving school","Melbourne and Victoria","Melbourne, VIC","PADI and Molchanovs","Beginner freediving, monthly local courses, gear hire, retreats and coaching","https://saltsessions.com.au/","https://www.instagram.com/salt_sessions_freediving/","https://www.facebook.com/SaltSessionsFreediving/","","","0431 699 264","","5.0 from about 160 reviews, secondary review index","Google review extract via secondary index","Fond memories and solid guidance to last a lifetime.","https://www.google.com/maps/search/?api=1&query=Salt%20Sessions%20Freediving%20Melbourne","Official website plus public review index; confirm current course dates before publishing.","Strong first choice for the Club House shortlist based on visible review volume, Victoria focus and recognised agencies.","assets/freediving-schools/salt-sessions-freediving.png","https://saltsessions.com.au/cdn/shop/files/favicon-saltsessions.png?v=1683602675","2026-09-25"
"2","Liv For The Sea","Freediving school","Melbourne and Tasmania","Melbourne, VIC","Molchanovs","Molchanovs Wave 1 beginner freediver course, pool skills, open-water training and coaching","https://www.livforthesea.com/","https://www.instagram.com/livforthesea/","https://www.facebook.com/livforthesea","https://www.youtube.com/@livforthesea6271","info@livforthesea.com","","","5.0 from 116 Google reviews shown on official site","Google review widget on official website","Liv teaches in a very professional but also personable manner.","https://www.google.com/maps/search/?api=1&query=Liv%20For%20The%20Sea%20Melbourne","Official site publishes rating widget and course information.","Good fit for members seeking a Melbourne-based Molchanovs pathway.","assets/freediving-schools/liv-for-the-sea.png","https://images.squarespace-cdn.com/content/v1/5b419a1389c172e06dbcbe49/a9a7695f-862e-49b8-a0ce-f7f1c83dad00/LFTS_LOGO_Stack_WHT.png","2026-09-25"
"3","Drifters Freediving","Freediving school","Melbourne and Victoria","Melbourne, VIC","AIDA and Molchanovs references in public listings","Beginner freediving, advanced training, pool sessions, depth training and beginner spearfishing","https://driftersfreediving.com/","https://www.instagram.com/driftersfreediving/","https://www.facebook.com/profile.php?id=100087473117004","","","","","Official site claims 100+ five-star reviews","Provider-published testimonials","Their approach is personal, thoughtful, and incredibly well tailored.","https://www.google.com/maps/search/?api=1&query=Drifters%20Freediving%20Melbourne","Official website and public comparison guide.","Public community guide raises concerns about training standards and conduct; include as a manual-review item before endorsing.","assets/freediving-schools/drifters-freediving.png","https://images.squarespace-cdn.com/content/v1/62187742ef73ef4733c426f9/8ddac37f-b460-4d78-8423-cdd45d3c7892/Drifters_logo-small-400w.png?format=1500w","2026-09-25"
"4","Freediving Australia Melbourne","Freediving school","Melbourne, Portsea and Queenscliff","Melbourne, VIC","Molchanovs","Molchanovs Wave 1 and Wave 2 courses, theory, pool training and ocean sessions","https://www.freedivingaustralia.com/melbourne","","","","info@freedivingfamily.com","+61 431 542 637","Theory at Adreno Cheltenham, pool sessions at MSAC, ocean sessions from Queenscliff or Portsea","Visible national reputation; local review count not verified","Website and public school directory extract","Melbourne courses include theory, pool and ocean sessions.","https://www.google.com/maps/search/?api=1&query=Freediving%20Australia%20Melbourne","National school with a Melbourne operation and named local training locations.","Include because it operates locally; user may later decide whether national operators fit the Club House list.","assets/freediving-schools/freediving-australia.svg","","2026-09-25"
"5","Marlon Quinn / Boundless Blue","Freediving school and instructor","Mornington Peninsula and Sorrento","Sorrento, VIC","PADI Freediver Instructor Trainer","Freediving instruction, coaching and underwater confidence training","https://marlonquinn.com/boundless-blue/","","","","","","Boat Ramp Jetty, St Aubins Way, Sorrento VIC 3943","4.5 from 17 reviews shown on official page","Provider-published review extract","He is a true professional, who cares about his teaching.","https://www.google.com/maps/search/?api=1&query=Marlon%20Quinn%20Boundless%20Blue%20Sorrento","Official instructor page; formerly associated with WaterMaarq.","Useful peninsula option, especially for members closer to Portsea/Sorrento.","assets/freediving-schools/marlon-quinn-boundless-blue.png","https://marlonquinn.com/wp-content/uploads/2021/07/cropped-Marlon-Quinn-Photo-Logo-Initials-Round-white-lowres-192x192.png","2026-09-25"
"6","Scubabo Dive Victoria","Dive and freediving school","Queenscliff, Port Phillip Bay and Portsea","Queenscliff, VIC","SSI Instructor Training Centre","Beginner and advanced freediving courses, boat charters, snorkel and scuba programs","https://dive.scubabo.com/","https://www.instagram.com/scubabodivevictoria/","https://www.facebook.com/scubabodivevictoria","","info@scubabo.com","(03) 5258 1188","37 Learmonth St, Queenscliff VIC 3225","4.3 from 58 Tripadvisor reviews; other indexes show higher Google volume","Tripadvisor review extract","Well organised, safe and very enjoyable.","https://www.tripadvisor.com/Attraction_Review-g552246-d3793621-Reviews-Scubabo_Dive_Victoria-Queenscliff_Victoria.html","Official site plus Tripadvisor and local business indexes.","Reviews mostly cover broader scuba/snorkel services, not only freediving; still relevant for Club House members around the Bellarine.","assets/freediving-schools/scubabo-dive-victoria.svg","","2026-09-25"
"7","Simple Dive Melbourne","Dive and freediving school","Melbourne eastern suburbs","Blackburn South, VIC","AIDA, SDI and TDI","AIDA freediving, scuba courses, gear and local dive training","https://www.simpledive.com.au/","https://www.instagram.com/simpledivemel/","https://www.facebook.com/simpledive","","info@simpledive.com.au","+61 414 907 659","21 Indra Road, Blackburn South VIC 3128","4.9 from 105 Google reviews, secondary local index","Local business review index extract","Highly rated by clients.","https://www.google.com/maps/search/?api=1&query=Simple%20Dive%20Melbourne%20Blackburn%20South","Official website plus local review index.","Reviews likely cover broader dive shop/course operations as well as freediving.","assets/freediving-schools/simple-dive-melbourne.png","https://www.simpledive.com.au/cdn/shop/files/simple-dive-logo_69267a4f-77d8-4b6b-962e-2d768b1e4e04.png?v=1789172294&width=3840","2026-09-25"
"8","Melbourne Freedivers Club","Freediving club","Melbourne","Melbourne, VIC","Australian Freediving Association affiliated club","Weekly pool training, safety induction, gear loan, depth trips and member community","https://melbournefreedivers.org.au/","https://www.instagram.com/melbournefreediversclub/","https://www.facebook.com/groups/melbournefreedivers","","training@melbournefreedivers.org.au","","","Club profile rather than review score","Official club extract","A community of safe and supportive freedivers.","https://melbournefreedivers.org.au/faq/","Official club website and AFA club listing.","Club says it is not a coaching service; list it as community/training support rather than a school.","assets/freediving-schools/melbourne-freedivers-club.png","https://melbournefreedivers.org.au/wp-content/uploads/2022/03/cropped-MFC-Logo-white-90x60-1.png","2026-09-25"
"9","Geelong Freedivers","Spearfishing and freediving club","Geelong, Bellarine and south-west Victoria","Geelong, VIC","Australian Underwater Federation affiliated club","Social dives, Spearo Clinics, catchups, club trips and spearfishing community","https://geelongfreedivers.org/","https://www.instagram.com/geelongfreedivers/","https://www.facebook.com/groups/1770254269938033","https://www.youtube.com/@geelongfreedivers4326/featured","geelongfreedivers@gmail.com","","","Club profile rather than review score","Official club extract","Safety first and community-minded approach.","https://geelongfreedivers.org/index.php/membership-join/","Official club website and social links.","Good Club House inclusion for spearfishing pathways, especially west of Melbourne.","assets/freediving-schools/geelong-freedivers.webp","https://geelongfreedivers.org/wp-content/uploads/2023/09/cropped-GFD_LOGO_FINAL_2016_-white.webp","2026-09-25"
"10","Southern Freedivers","Spearfishing club","Victoria-wide, Melbourne roots","Melbourne, VIC","Volunteer spearfishing club; recreational fishing representation","Spearfishing community, meetings, social diving and competition spearfishing","https://southernfreedivers.org.au/","","","","","","","Club profile rather than review score","Official club extract","Connecting divers in Victoria for more than 30 years.","https://southernfreedivers.org.au/","Official club website.","Social links are referenced by the site but were not reliably verified during this pass; confirm before publishing icons.","assets/freediving-schools/southern-freedivers.svg","","2026-09-25"
